leader,lagger,delay_sec,coherence
ETH,BTC,0.1341135647568086,0.7525317881046597
SOL,ETH,0.04715556716501675,0.6483390964190501
SOL,BTC,0.08297880558695213,0.6300985439017568
BNB,BTC,0.003805737008492763,0.5782609830902902
BNB,ETH,0.012735931028677627,0.5753955852252732
ETH,XRP,0.18489659239644096,0.5736529744272427
BTC,XRP,0.2470699791968244,0.5692286825281939
SOL,XRP,0.2976788351307088,0.5417148982755737
BNB,SOL,0.07579201513215389,0.5415937268710147
BNB,XRP,0.33549460913281476,0.4696228353706037
