leader,lagger,delay_sec,coherence
ETH,BTC,0.004833255986524486,0.755314821762881
SOL,ETH,0.003376567246690813,0.6521956393346294
SOL,BTC,0.006343014279231273,0.6313149310754695
BTC,BNB,0.008760496346921491,0.5779246017146785
ETH,BNB,0.008359663916112583,0.5761673967860376
ETH,XRP,0.013223125137643718,0.5756222558386053
BTC,XRP,0.015136124080621106,0.5699532575124956
SOL,XRP,0.014541072577494435,0.5441908918306061
SOL,BNB,0.009163363582219884,0.5425324973770834
BNB,XRP,0.008293011477394321,0.4707433006781808
